cancer_group	cohort	cell_type	molecular_subtype	n
Diffuse midline glioma	PBTA	NK cell	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	Neutrophil	DMG, H3 K28	94
Diffuse midline glioma	PBTA	Neutrophil	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	T cell CD4+ (non-regulatory)	DMG, H3 K28	94
Diffuse midline glioma	PBTA	T cell CD4+ (non-regulatory)	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	T cell CD8+	DMG, H3 K28	94
Diffuse midline glioma	PBTA	T cell CD8+	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	T cell regulatory (Tregs)	DMG, H3 K28	94
Diffuse midline glioma	PBTA	T cell regulatory (Tregs)	DMG, H3 K28, TP53	131
Diffuse midline glioma	PBTA	uncharacterized cell	DMG, H3 K28	94
