cancer_group	cohort	cell_type	molecular_subtype	n
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ memory	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ memory	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ naive	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ naive	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ naive	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD4+ naive	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ central memory	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ central memory	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ central memory	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ central memory	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ effector memory	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ effector memory	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ effector memory	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ effector memory	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ naive	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ naive	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ naive	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell CD8+ naive	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell NK	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell NK	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell NK	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell NK	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell gamma delta	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell gamma delta	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	T cell gamma delta	ATRT, TYR	13
