Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_EE73VE7V	0.166559667963177	0	0	0	0.29019909167428887	0	0	0.15829317460587802	0.07900733722252185	0	0	0.11507337040461922	0.1181170667114943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_DVDT4VXQ	0.2889692343091707	0	0	0	0.1780529432712816	0	0	0.3627712480649715	0.07409800503885487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_DD69EB5S	0.17954546306936414	0	0.12935887725047632	0	0	0.066618729264669	0	0	0	0	0.14895747428435147	0	0	0	0	0	0	0	0	0	0	0	0	0.06666228187432223	0	0	0	0	0.2529931516427721	0
BS_DRVEFVQ5	0.20198064614295733	0	0	0	0.31790384392509785	0	0	0.3060707616625303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_DD2N8CEX	0.18528217617974144	0	0	0	0.2640315613366237	0.24930809198737583	0	0	0	0	0.06572728770645339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084879606724197	0
BS_D6STCMQS	0.19063657012596208	0	0.17271247294261882	0	0.14586473859033158	0	0	0.2841434069179307	0.07968354048291637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_CX6KACX6	0	0	0	0	0	0.39161774448843906	0	0.24149320608329874	0	0	0	0	0	0	0.2671609884718466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_CGXTFM67	0.27781432375431386	0	0	0	0.38714191545521665	0	0	0.18033157213545098	0.07508458048863764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_CD7AXQM8	0.12185062297618393	0	0.39998626932233566	0	0.20760577940434852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09335440014883799	0	0	0	0	0
BS_CBMAWSAR	0.15175014554415373	0	0.17810850796943403	0	0.09147833686061876	0	0	0.38377662217540703	0	0	0	0.08643767832580737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_C5M87D60	0.95987580459171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_CA4CRZKP	0	0	0.07287578442169973	0	0	0	0	0	0	0	0	0	0	0	0.14888151086611368	0	0	0	0	0.1962714306447668	0	0.09021357562788368	0	0.08884972099328943	0.07654386592740475	0	0	0	0	0.09293323783423052
BS_BTDQZ60Q	0.4423023761956325	0	0	0	0	0.32449526072709495	0	0	0	0	0	0	0	0	0.23320236307727263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_BT83BCEE	0.20421768181380043	0	0	0	0.29045605632334554	0	0	0	0	0	0	0	0	0	0	0.13153610464652385	0	0	0	0	0	0	0	0	0	0.065246870141431	0	0	0	0.11800713827286444
BS_BQ81D2BP	0.23052019907974128	0	0	0	0.26930286144289883	0	0	0.29606781685381434	0.07189890186038865	0	0	0	0.06678520876763974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_B4PPG3X5	0.26163925959621553	0	0.0676794008198588	0	0.1625483952830224	0	0	0.28939390954146493	0	0	0	0	0	0	0	0.07943211010802692	0	0	0	0	0	0	0	0	0.07394017697656871	0	0	0	0	0
BS_B19AWBBW	0.18155441877364942	0	0.09823358250939017	0	0.3785462392922585	0	0	0.15902099956047397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AN55105E	0.756185153073707	0	0	0	0	0.24381484692629302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AMKQKHJ6	0.3795486269946747	0	0	0	0.21880953552574903	0	0	0	0	0	0	0	0	0	0.0880632575759198	0.15322830581785254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AK9BV52G	0.14041122919886906	0	0.13787587567559756	0	0.17932258106892285	0	0	0.2834008711155108	0.11202695999656453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AHAXPFG3	0.33528723466843735	0	0.0942908226977011	0	0	0	0	0.3818696095837806	0	0	0	0	0	0	0	0.08502217481219768	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AH3RVK53	0.24809404756025172	0	0.11265173355177456	0	0.2226982442733035	0	0	0.231758779924254	0	0	0	0.06799559689534376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AG4BP2PM	0.21707429813394194	0	0	0	0	0.1605761762249398	0	0	0	0	0.3085911782554203	0	0	0	0.2907736344964136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AF5D41PD	0.21681136313814175	0	0	0	0.2144344528184103	0	0	0.3220766038728443	0.06684726031979837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_AEEKJ1QK	0.10817592742536127	0	0.12713427929096868	0	0.06548054992694366	0.2655107677086643	0	0	0	0	0	0	0	0	0.07135332728241682	0	0	0	0	0	0	0.06506700892767998	0	0.17857055818165019	0	0	0	0	0	0
BS_A6YJ3WG2	0	0	0.11301052287855914	0	0	0.5184054217798381	0	0	0	0	0	0	0.19603082162311644	0	0	0	0	0	0	0	0	0	0.06901379115192904	0	0	0	0	0	0	0
BS_9W04ZPRR	0.3040585945742558	0.11565644433044157	0.4074138228734123	0	0	0	0	0	0	0	0	0	0	0	0.13394495139227322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_9P4NDTKJ	0.18206420080336042	0	0.19056625032755325	0	0.30022469453326533	0	0	0.1686609994647658	0	0	0	0	0	0	0	0.09461335407232484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_9DN4QR6E	0.22183513284997405	0	0.08390191556610607	0	0	0	0	0.09092663615634525	0.12492317552670267	0	0	0	0	0	0.22650097926996757	0	0	0	0	0	0	0	0.06701800341481	0	0	0	0	0	0	0
BS_91HP99HY	0.2734349185187356	0	0	0.10438018974402662	0	0.12418181364457914	0	0	0	0	0	0.13458575960443162	0	0	0	0	0	0.24221796799142098	0	0	0	0	0	0	0.07607533168539006	0	0	0	0	0
BS_8SYN7GXG	0.2378289542534296	0	0.20129791986206966	0	0.09597268677541511	0	0	0.2417432848923987	0	0	0	0.09720104238690866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_7PAAZQE6	0.7791462998052552	0	0	0	0	0	0	0	0	0	0.1246525298905384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_7PF3C1P7	0.15532071165174238	0	0	0	0.28294710315228194	0	0	0.3239885317554979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_7GKF6M85	0.16612354149242275	0	0	0	0.27426962872814425	0	0	0.37665456279369247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
